categoryOrder,category,name,description,price,fileName,image_url,slug,isNew,isDeleted
1,Proteins,Rotisserie chicken ,"Herb-seasoned and slow-roasted until juicy and golden, finished with crisped skin and classic comfort flavor. Gluten free

Add to your meal with items from our veggie and grain sections",1,Rotisserie chicken.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Rotisserie%20chicken.png?alt=media&token=3e0f4fe2-086f-470c-9238-e5356bdbaf5c,,FALSE,FALSE
1,Proteins,Teriyaki chicken,"Grilled chicken glazed with a house teriyaki sauce, balancing sweet and savory notes. Gluten free, Soy 

Add to your meal with items from our veggie and grain sections",1,teriyaki chicken.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/teriyaki%20chicken.png?alt=media&token=7b731159-1dee-4e42-b10e-ae8d328a7c87,,FALSE,FALSE
1,Proteins,Grilled chicken breast,"Lean, marinated chicken breast grilled until perfectly charred and juicy. Gluten free

Add to your meal with items from our veggie and grain sections",1,grilled chicken breast.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/grilled%20chicken.webp?alt=media&token=51f94044-f74a-45ae-86b8-07edd4ffb628,,FALSE,FALSE
1,Proteins,Grilled salmon lightly seasoned,"Simply grilled salmon, lightly seasoned to let the natural flavor shine. Gluten free, Fish 

Add to your meal with items from our veggie and grain sections",1,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/grilled%20salmon%202.png?alt=media&token=43f480b1-8adb-4e03-8855-fc674b2d099f,,FALSE,FALSE
1,Proteins,Miso salmon,"Salmon fillet marinated in a traditional miso glaze and seared for a delicate, savory-sweet finish. Gluten free, Fish, Soy

Add to your meal with items from our veggie and grain sections",1,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/miso%20salmon2.png?alt=media&token=5b125222-2ece-4f63-9ba9-4915ed4045cb,,FALSE,FALSE
1,Proteins,Soy ginger black cod,"Buttery black cod infused with a fragrant soy and ginger reduction, offering a refined balance of warmth and umami. Fish, Soy

Add to your meal with items from our veggie and grain sections",1,soy ginger black cod.png,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/soy%20ginger%20cod.png?alt=media&token=a3108fd9-83c8-4b04-86c5-1532cb4b5668,,FALSE,FALSE
1,Proteins,Grilled shrimp,"Flame-grilled shrimp lightly seasoned with herbs and citrus for a bright, coastal flavor profile. Gluten free, Crustacean

Add to your meal with items from our veggie and grain sections",1,,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/grilled%20shrimp.png?alt=media&token=1aae56a3-e150-40dd-9636-dc860952b0bc,,,
1,Proteins,Chili tofu,"Crispy tofu tossed in a savory chili sauce with subtle heat and depth. Vegan, Gluten Free, Soy

Add to your meal with items from our veggie and grain sections",1,chilli tofu,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/chili%20tofu.png?alt=media&token=a1e2347c-7cac-46f1-b8e4-e56f0b4d3a2c,,FALSE,FALSE
1,Proteins,Chilled edamame tofu,"Silky tofu topped with chilled edamame and light seasoning for a refreshing, plant-based bite. Vegan, Gluten free, Soy, Sesame

Add to your meal with items from our veggie and grain sections",1,Chilled Edamame Tofu ,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/Chilled%20Edamame%20Tofu.png?alt=media&token=b6571fd4-e539-4d65-864e-2853a3debf29,,FALSE,FALSE
1,Proteins,Tamari tofu steak,"Thick-cut tofu marinated in tamari, seared until crisp on the outside and tender within. Vegan,Gluten free, Soy

Add to your meal with items from our veggie and grain sections",1,tamari tofu steak,https://firebasestorage.googleapis.com/v0/b/junebird-5846d.firebasestorage.app/o/tamari%20tofu%20steak.png?alt=media&token=364df2fa-56f7-4f75-bcfd-1c07546fa241,,FALSE,FALSE
